keyword;search_volume_monthly;cpc_czk;yoy_change_pct;difficulty;peak_month;status
radar letadel;2900;1.68;22;16;2026-07;measured
letecký radar;4700;2.04;18;;2026-03;measured
letadla online;1700;1.60;1;;2026-03;measured
flight radar;68000;1.40;15;;2026-03;measured - mostly navigational/competitive
radar letadel online;360;1.47;3;;2026-07;measured
letový radar;860;1.33;16;;2026-03;measured
sledování letadel online;380;1.54;-21;;2026-07;measured
mapa letadel online;30;0;-3;;2026-03;measured
radar letadel nad evropou;40;0;-6;;2025-07;measured
letadla nad prahou;120;0;73;;2025-09;measured
radar vojenských letadel;30;0;18;;2025-09;measured
sledování letů;5500;1.68;5;20;2026-08;measured
sledování letů online zdarma;4200;1.61;-9;;2026-07;measured
sledování letu;710;1.82;-2;30;2026-08;measured
sledování letů podle čísla;700;1.55;11;20;2026-07;measured
sledování letadel podle čísla letu;640;1.20;-52;10;2026-08;measured
sledování letů online;500;1.26;-27;30;2026-08;measured
sledování letů zdarma;360;1.75;54;;2026-06;measured
sledování letů na mapě;120;1.39;620;;2026-03;measured
letiště praha přílety;8400;0.23;20;;2026-06;measured
letiště praha odlety;12000;1.85;-20;;2026-08;measured
přílety praha dnes;220;0;70;;2026-03;measured
odlety praha dnes;170;0;110;;2026-07;measured
letiště praha online;890;2.22;-18;54;2026-08;measured
webkamera letiště praha;700;0;-11;32;2026-08;measured
parkování letiště praha;12000;9.39;-14;47;2026-07;measured
parkování na letišti praha;3300;9.23;8;45;2026-07;measured
parkování u letiště praha;1700;9.97;-6;29;2026-07;measured
nejlevnější parkování letiště praha;590;8.06;-37;26;2026-06;measured
levné parkování letiště praha;290;8.78;37;26;2026-07;measured
parkování letiště brno;1200;1.36;-10;;2026-08;measured
parkování letiště ostrava;680;6.16;-1;;2026-07;measured
letiště brno přílety;520;0.22;-21;;2026-08;measured
letiště brno odlety;1200;3.35;-28;;2026-08;measured
letiště ostrava přílety;260;0;-43;;2026-07;measured
letiště ostrava odlety;920;0.19;2;;2026-07;measured
jak vysoko létají letadla;240;0;-24;;2026-08;measured
rychlost letadla;190;0;-40;;2026-04;measured
letová hladina;60;0;-36;;2026-04;measured
squawk 7700;190;0;-2;;2026-07;measured
squawk 7600;70;0;19;;2026-07;measured
squawk 7500;40;0;10;;2026-02;measured
živá mapa letadel;;;;;;no measurable data
letadla nad českem;;;;;;no measurable data
co mi letí nad hlavou;;;;;;no measurable data
jaké letadlo mi letí nad hlavou;;;;;;no measurable data
letadlo nade mnou;;;;;;no measurable data
letiště praha webkamera;;;;;;no measurable data
co znamená fl350;;;;;;no measurable data
proč letadlo krouží;;;;;;no measurable data
kondenzační stopa za letadlem;;;;;;no measurable data
